I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: TITAN Xp
major: 6 minor: 1 memoryClockRate (GHz) 1.582
pciBusID 0000:02:00.0
Total memory: 11.91GiB
Free memory: 9.52GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:590] creating context when one is currently active; existing: 0x4005ef0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 1 with properties: 
name: TITAN Xp
major: 6 minor: 1 memoryClockRate (GHz) 1.582
pciBusID 0000:03:00.0
Total memory: 11.91GiB
Free memory: 10.35GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:590] creating context when one is currently active; existing: 0x400a1e0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 2 with properties: 
name: TITAN Xp
major: 6 minor: 1 memoryClockRate (GHz) 1.582
pciBusID 0000:82:00.0
Total memory: 11.91GiB
Free memory: 10.35GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:590] creating context when one is currently active; existing: 0x400e4d0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 3 with properties: 
name: TITAN Xp
major: 6 minor: 1 memoryClockRate (GHz) 1.582
pciBusID 0000:83:00.0
Total memory: 11.91GiB
Free memory: 10.35GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:777] Peer access not supported between device ordinals 0 and 2
I tensorflow/core/common_runtime/gpu/gpu_device.cc:777] Peer access not supported between device ordinals 0 and 3
I tensorflow/core/common_runtime/gpu/gpu_device.cc:777] Peer access not supported between device ordinals 1 and 2
I tensorflow/core/common_runtime/gpu/gpu_device.cc:777] Peer access not supported between device ordinals 1 and 3
I tensorflow/core/common_runtime/gpu/gpu_device.cc:777] Peer access not supported between device ordinals 2 and 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:777] Peer access not supported between device ordinals 2 and 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:777] Peer access not supported between device ordinals 3 and 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:777] Peer access not supported between device ordinals 3 and 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 1 2 3 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y Y N N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 1:   Y Y N N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 2:   N N Y Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 3:   N N Y Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN Xp, pci bus id: 0000:02:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:1) -> (device: 1, name: TITAN Xp, pci bus id: 0000:03:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:2) -> (device: 2, name: TITAN Xp, pci bus id: 0000:82:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:3) -> (device: 3, name: TITAN Xp, pci bus id: 0000:83:00.0)
/usr/local/lib/python2.7/dist-packages/tensorflow/python/ops/gradients_impl.py:91: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
Training with hyperparameters: alpha=0, lambda=0.0001
Training data: data/TWINS/noisy_40_twins_1-10.train.npz
Test data:     data/TWINS/noisy_40_twins_1-10.test.npz
Loaded data with shape [4868,80]
Defining graph...

Training on experiment 1/10...
0	Obj: 0.142,	F: 0.409,	Cf: 0.396,	Imb: 0.038,	Val: 0.415,	ValImb: 0.042,	ValObj: 0.16
100	Obj: 0.090,	F: 0.333,	Cf: 0.330,	Imb: 0.021,	Val: 0.358,	ValImb: 0.026,	ValObj: 0.12
200	Obj: 0.072,	F: 0.299,	Cf: 0.306,	Imb: 0.0013,	Val: 0.336,	ValImb: 0.0035,	ValObj: 0.11
300	Obj: 0.063,	F: 0.285,	Cf: 0.316,	Imb: 0.0036,	Val: 0.347,	ValImb: 0.0023,	ValObj: 0.12
400	Obj: 0.059,	F: 0.285,	Cf: 0.312,	Imb: 0.0029,	Val: 0.357,	ValImb: 0.00078,	ValObj: 0.12
500	Obj: 0.052,	F: 0.269,	Cf: 0.313,	Imb: 0.0031,	Val: 0.353,	ValImb: 0.0035,	ValObj: 0.12
600	Obj: 0.050,	F: 0.264,	Cf: 0.327,	Imb: 0.0026,	Val: 0.360,	ValImb: 0.0026,	ValObj: 0.14
700	Obj: 0.042,	F: 0.247,	Cf: 0.324,	Imb: 0.0037,	Val: 0.355,	ValImb: 0.0026,	ValObj: 0.13
800	Obj: 0.040,	F: 0.240,	Cf: 0.317,	Imb: 0.0042,	Val: 0.352,	ValImb: 0.0016,	ValObj: 0.12
900	Obj: 0.035,	F: 0.226,	Cf: 0.316,	Imb: 0.0012,	Val: 0.367,	ValImb: 0.002,	ValObj: 0.14
1000	Obj: 0.034,	F: 0.223,	Cf: 0.322,	Imb: 0.0017,	Val: 0.376,	ValImb: 0.0021,	ValObj: 0.14
1100	Obj: 0.034,	F: 0.219,	Cf: 0.323,	Imb: 0.002,	Val: 0.359,	ValImb: 0.0026,	ValObj: 0.13
1200	Obj: 0.027,	F: 0.201,	Cf: 0.306,	Imb: 0.0032,	Val: 0.373,	ValImb: 0.0027,	ValObj: 0.13
1300	Obj: 0.024,	F: 0.188,	Cf: 0.307,	Imb: 0.0031,	Val: 0.381,	ValImb: 0.0047,	ValObj: 0.14
1400	Obj: 0.024,	F: 0.187,	Cf: 0.300,	Imb: 0.0025,	Val: 0.379,	ValImb: 0.0043,	ValObj: 0.14
1500	Obj: 0.023,	F: 0.181,	Cf: 0.307,	Imb: 0.0016,	Val: 0.377,	ValImb: 0.002,	ValObj: 0.14
1600	Obj: 0.020,	F: 0.168,	Cf: 0.295,	Imb: 0.0028,	Val: 0.376,	ValImb: 0.0058,	ValObj: 0.13
1700	Obj: 0.018,	F: 0.157,	Cf: 0.295,	Imb: 0.0027,	Val: 0.385,	ValImb: 0.0054,	ValObj: 0.14
1800	Obj: 0.018,	F: 0.156,	Cf: 0.290,	Imb: 0.0036,	Val: 0.387,	ValImb: 0.0047,	ValObj: 0.14
1900	Obj: 0.019,	F: 0.160,	Cf: 0.294,	Imb: 0.0048,	Val: 0.389,	ValImb: 0.0091,	ValObj: 0.14
2000	Obj: 0.016,	F: 0.150,	Cf: 0.292,	Imb: 0.0034,	Val: 0.394,	ValImb: 0.0048,	ValObj: 0.14
2100	Obj: 0.016,	F: 0.146,	Cf: 0.288,	Imb: 0.0041,	Val: 0.391,	ValImb: 0.0072,	ValObj: 0.14
2200	Obj: 0.015,	F: 0.140,	Cf: 0.281,	Imb: 0.0064,	Val: 0.393,	ValImb: 0.008,	ValObj: 0.14
2300	Obj: 0.015,	F: 0.142,	Cf: 0.289,	Imb: 0.0037,	Val: 0.398,	ValImb: 0.0038,	ValObj: 0.15
2400	Obj: 0.014,	F: 0.135,	Cf: 0.274,	Imb: 0.0053,	Val: 0.394,	ValImb: 0.0051,	ValObj: 0.14
2500	Obj: 0.016,	F: 0.146,	Cf: 0.284,	Imb: 0.0047,	Val: 0.395,	ValImb: 0.0067,	ValObj: 0.14
2600	Obj: 0.013,	F: 0.133,	Cf: 0.276,	Imb: 0.0049,	Val: 0.397,	ValImb: 0.0061,	ValObj: 0.15
2700	Obj: 0.013,	F: 0.132,	Cf: 0.277,	Imb: 0.0048,	Val: 0.403,	ValImb: 0.0057,	ValObj: 0.15
2800	Obj: 0.016,	F: 0.149,	Cf: 0.284,	Imb: 0.0049,	Val: 0.390,	ValImb: 0.0049,	ValObj: 0.14
2900	Obj: 0.013,	F: 0.132,	Cf: 0.282,	Imb: 0.0057,	Val: 0.406,	ValImb: 0.0067,	ValObj: 0.15
