I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: TITAN Xp
major: 6 minor: 1 memoryClockRate (GHz) 1.582
pciBusID 0000:03:00.0
Total memory: 11.91GiB
Free memory: 9.26GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN Xp, pci bus id: 0000:03:00.0)
/usr/local/lib/python2.7/dist-packages/tensorflow/python/ops/gradients_impl.py:91: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
Training with hyperparameters: alpha=0, lambda=0.0001
Training data: data/IHDP/10times_noisy_100_ihdp_npci_1-1000.train.npz
Test data:     data/IHDP/10times_noisy_100_ihdp_npci_1-1000.test.npz
Loaded data with shape [672,125]
Defining graph...

Training on experiment 1/10...
Traceback (most recent call last):
  File "cfr_net_train.py", line 430, in <module>
    tf.app.run()
  File "/usr/local/lib/python2.7/dist-packages/tensorflow/python/platform/app.py", line 43, in run
    sys.exit(main(sys.argv[:1] + flags_passthrough))
  File "cfr_net_train.py", line 423, in main
    run(outdir)
  File "cfr_net_train.py", line 370, in run
    D_exp_test, logfile, i_exp)
  File "cfr_net_train.py", line 124, in train
    I = random.sample(range(0, n_train), FLAGS.batch_size)
  File "/usr/lib/python2.7/random.py", line 321, in sample
    raise ValueError("sample larger than population")
ValueError: sample larger than population
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:128] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: TITAN Xp
major: 6 minor: 1 memoryClockRate (GHz) 1.582
pciBusID 0000:03:00.0
Total memory: 11.91GiB
Free memory: 8.64GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN Xp, pci bus id: 0000:03:00.0)
/usr/local/lib/python2.7/dist-packages/tensorflow/python/ops/gradients_impl.py:91: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
Training with hyperparameters: alpha=0, lambda=0.0001
Training data: data/IHDP/10times_noisy_100_ihdp_npci_1-1000.train.npz
Test data:     data/IHDP/10times_noisy_100_ihdp_npci_1-1000.test.npz
Loaded data with shape [672,125]
Defining graph...

Training on experiment 1/10...
0	Obj: 24.238,	F: 3.811,	Cf: 6.005,	Imb: -9.4e-09,	Val: 3.842,	ValImb: 7e-09,	ValObj: 24.59
100	Obj: 1.157,	F: 1.252,	Cf: 1.942,	Imb: 0.0039,	Val: 1.722,	ValImb: -0.0013,	ValObj: 3.23
200	Obj: 0.298,	F: 0.680,	Cf: 2.488,	Imb: 0.00047,	Val: 1.862,	ValImb: -0.00085,	ValObj: 4.20
300	Obj: 0.071,	F: 0.329,	Cf: 2.726,	Imb: 0.00013,	Val: 1.947,	ValImb: -8.4e-06,	ValObj: 4.60
400	Obj: 0.037,	F: 0.224,	Cf: 2.806,	Imb: 8.6e-05,	Val: 1.990,	ValImb: -7.9e-05,	ValObj: 4.86
500	Obj: 0.021,	F: 0.157,	Cf: 2.844,	Imb: 7.5e-06,	Val: 2.029,	ValImb: -5e-05,	ValObj: 5.03
600	Obj: 0.011,	F: 0.106,	Cf: 2.888,	Imb: 5.8e-05,	Val: 2.064,	ValImb: -6.8e-05,	ValObj: 5.16
700	Obj: 0.011,	F: 0.104,	Cf: 2.887,	Imb: 4.1e-05,	Val: 2.072,	ValImb: -4.3e-05,	ValObj: 5.18
800	Obj: 0.007,	F: 0.064,	Cf: 2.895,	Imb: 3.8e-05,	Val: 2.091,	ValImb: -7.5e-05,	ValObj: 5.24
900	Obj: 0.007,	F: 0.062,	Cf: 2.909,	Imb: 4.2e-05,	Val: 2.099,	ValImb: -5e-05,	ValObj: 5.30
1000	Obj: 0.010,	F: 0.091,	Cf: 2.887,	Imb: 3.1e-05,	Val: 2.086,	ValImb: -3.7e-05,	ValObj: 5.14
1100	Obj: 0.009,	F: 0.084,	Cf: 2.872,	Imb: 3.9e-05,	Val: 2.098,	ValImb: -2.2e-05,	ValObj: 5.19
1200	Obj: 0.005,	F: 0.039,	Cf: 2.871,	Imb: 5.2e-05,	Val: 2.091,	ValImb: 1.3e-05,	ValObj: 5.19
1300	Obj: 0.005,	F: 0.029,	Cf: 2.871,	Imb: 5.5e-05,	Val: 2.090,	ValImb: 9.8e-06,	ValObj: 5.18
1400	Obj: 0.005,	F: 0.027,	Cf: 2.878,	Imb: 5.4e-05,	Val: 2.093,	ValImb: 1.2e-05,	ValObj: 5.20
1500	Obj: 0.005,	F: 0.037,	Cf: 2.881,	Imb: 5.5e-05,	Val: 2.097,	ValImb: 2.3e-05,	ValObj: 5.24
1600	Obj: 0.006,	F: 0.048,	Cf: 2.872,	Imb: 5.1e-05,	Val: 2.098,	ValImb: 2e-05,	ValObj: 5.21
1700	Obj: 0.008,	F: 0.066,	Cf: 2.874,	Imb: 5.9e-05,	Val: 2.095,	ValImb: 2.3e-05,	ValObj: 5.23
1800	Obj: 0.008,	F: 0.075,	Cf: 2.854,	Imb: 5.3e-05,	Val: 2.095,	ValImb: 3.7e-05,	ValObj: 5.19
1900	Obj: 0.006,	F: 0.052,	Cf: 2.849,	Imb: 4.2e-05,	Val: 2.086,	ValImb: 6.6e-05,	ValObj: 5.18
2000	Obj: 0.005,	F: 0.044,	Cf: 2.834,	Imb: 3.8e-05,	Val: 2.082,	ValImb: 6.3e-05,	ValObj: 5.15
2100	Obj: 0.005,	F: 0.040,	Cf: 2.834,	Imb: 4e-05,	Val: 2.078,	ValImb: 8e-05,	ValObj: 5.12
2200	Obj: 0.005,	F: 0.025,	Cf: 2.833,	Imb: 4.6e-05,	Val: 2.078,	ValImb: 0.00011,	ValObj: 5.12
2300	Obj: 0.004,	F: 0.022,	Cf: 2.830,	Imb: 4.5e-05,	Val: 2.078,	ValImb: 0.0001,	ValObj: 5.11
2400	Obj: 0.004,	F: 0.017,	Cf: 2.836,	Imb: 4.4e-05,	Val: 2.080,	ValImb: 0.00011,	ValObj: 5.13
